===================
solver, cost, time, n_exp, n_gen, map_file, scen_file, agents_limit, conflict_bound, success 
MetaAgCBSWithCBS, 6122, 26.645, 240, 478, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 15, 100, success
CBSSolver, -, 300.21, 663, 1296, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 20, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 20, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 20, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 20, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, 345.72, 643, 1274, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 20, 100, timeout
CBSSolver, -, 303.94, 19, 33, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, 315.6, 31, 47, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 25, 10, timeout
MetaAgCBSWithCBS, -, 332.06, 205, 395, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 25, 100, timeout
CBSSolver, 1871, 6.141, 6, 10, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 5, -, success
MetaAgCBSWithCBS, 868, 7.037, 3, 4, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 868, 6.801, 7, 12, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 1871, 0.397, 10, 19, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 1871, 0.371, 10, 19, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 5, 100, success
CBSSolver, 3090, 193.568, 320, 615, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 10, -, success
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 10, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, 1599, 14.028, 25, 47, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 10, 5, success
MetaAgCBSWithCBS, 1643, 14.911, 47, 91, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 10, 10, success
MetaAgCBSWithCBS, 2161, 20.682, 269, 536, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 10, 100, success
CBSSolver, -, 305.02, 109, 190, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 15, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc203d.map, more/scenarios/1/brc203d.map.scen, 15, 1, Fail:object of type 'int' has no len()
